Year,TransportEmissions,CO2Emissions
2005,140207.586036492,532010.90828055
2006,139030.083138741,530252.624274229
2007,139783.383191507,519095.510604472
2008,134607.553093511,507204.071435128
2009,130815.200339249,457696.456955094
2010,129610.008370159,475665.954353912
2011,127103.188758633,435248.001664135
2012,125795.767522919,455324.794880883
2013,124303.19992394,448798.713564888
2014,126393.059203956,409289.484473894
2015,127302.15591173,391087.850704619
2016,130942.083059439,366984.788401763
2017,131831.680595745,354755.068534264
2018,130571.296929873,349764.486489124
2019,127318.910244168,334246.381118977
2020,106709.076336463,301984.196905699
2021,114629.329387953,319170.103401967
2022,114628.319706592,296864.053195733
2023,113306.635899907,281697.433227366
